vessel_ID;crewcost;fuelcost;fuelcons;repmaint;othvarcost
COUNTRY1;73000;126638;202919;6864;14785
COUNTRY2;12351;5337;5506;3960;2475
COUNTRY3;41210;123781;185211;33900;13623
COUNTRY4;34137;12406;17837;3622;4444
COUNTRY5;19902;28016;43836;1811;7064
COUNTRY6;58561;124141;203240;11084;76007
COUNTRY7;43401;74825;101703;18984;89994
COUNTRY8;11751;18940;25298;0;6830
COUNTRY9;6589;2304;3203;0;527
COUNTRY10;15744;14781;23391;2674;7004
COUNTRY11;18818;17104;21103;646;5789
COUNTRY12;61107;28623;40486;7752;25870
COUNTRY13;44999;44662;62928;8030;12733
COUNTRY14;20369;29284;42928;3019;349
COUNTRY15;34488;15015;20947;3308;12142
COUNTRY16;58682;35539;48521;4347;26532
COUNTRY17;39463;75282;110561;8953;12227
COUNTRY18;100230;31201;0;9111;7999
COUNTRY19;10224;22607;25986;1751;1026
COUNTRY20;18080;28730;42167;2052;905
COUNTRY21;2491;11713;6920;1086;676
COUNTRY22;15660;8574;12257;2656;1231
COUNTRY23;20254;58780;88825;603;2234
COUNTRY24;10597;31058;47931;2415;1171
COUNTRY25;12887;48473;68610;8549;6943
COUNTRY26;81915;132979;205083;2167;50214
COUNTRY27;112612;253135;375566;46455;62718
COUNTRY28;56921;127535;190202;5687;23212
COUNTRY29;46113;153488;225416;4226;26906
COUNTRY30;19176;23510;28523;1585;4322
